vmin_mid,median,lo68,hi68,lo95,hi95
6.771649999999999636e+01,7.898302788931933409e-31,7.618858700800982040e-31,8.622956490856107590e-31,7.463860545964163764e-31,1.034741193757783446e-30
6.851550000000000296e+01,7.898302788931935160e-31,7.618858700800981164e-31,8.622956490856105838e-31,7.463860546283984740e-31,1.030856871220076323e-30
6.931450000000000955e+01,7.892623255240142035e-31,7.618858700800981164e-31,8.620455375328196256e-31,7.463860546614472225e-31,1.028295040945106293e-30
7.011350000000001614e+01,7.888462003071741385e-31,7.618074436241164948e-31,8.618744537386618966e-31,7.463860546951789288e-31,1.002035032303312331e-30
7.091249999999999432e+01,7.886490595826673116e-31,7.617278896543055644e-31,8.584520821259235010e-31,7.463860547296640082e-31,9.929143533332410540e-31
7.171150000000000091e+01,7.885467859482731290e-31,7.616238804291544063e-31,8.527801060291789617e-31,7.463860547642736280e-31,9.874819392082014785e-31
7.251050000000000750e+01,7.875505603551292343e-31,7.613224702029634668e-31,8.511187810322248442e-31,7.456769384977280960e-31,9.839834821861543343e-31
7.330949999999999989e+01,7.867359776484912423e-31,7.609923862624484318e-31,8.488815996276530653e-31,7.456769385295227699e-31,9.798149732630852893e-31
7.410849999999999227e+01,7.848191784505096409e-31,7.599956995855164090e-31,8.417448806052811849e-31,7.446095707943383495e-31,9.534542161462905522e-31
7.490749999999999886e+01,7.837480054354986137e-31,7.595080868902856396e-31,8.360068008331564626e-31,7.437300089658935152e-31,9.501509010612294498e-31
7.570650000000000546e+01,7.827184118013723179e-31,7.585183963689083991e-31,8.312973607939971109e-31,7.437300089795096697e-31,9.407952128858184718e-31
7.650550000000001205e+01,7.812689422216017642e-31,7.574170845881605567e-31,8.269370809039110688e-31,7.436098521739138866e-31,9.353962773102065422e-31
7.730449999999999022e+01,7.806926357085355825e-31,7.567356822453100122e-31,8.239316962721832362e-31,7.435587341831289081e-31,9.305746823079189873e-31
7.810349999999999682e+01,7.798057980610441874e-31,7.559049519091394720e-31,8.219335838155870109e-31,7.434810195742018953e-31,8.966101649836831157e-31
7.890250000000000341e+01,7.789536353097120540e-31,7.557506173984722997e-31,8.180901134966951488e-31,7.429271692442128846e-31,8.894267803876629957e-31
7.970150000000001000e+01,7.775709651400373180e-31,7.551366533991696362e-31,8.160257444736882521e-31,7.429271692701229808e-31,8.835845424418594972e-31
8.050050000000000239e+01,7.764685091278101774e-31,7.548213696290337183e-31,8.148162853286571593e-31,7.417213115748074099e-31,8.732333957667901107e-31
8.129950000000000898e+01,7.755222939004259561e-31,7.543183102312612886e-31,8.131142932115534507e-31,7.417213115748074099e-31,8.663883666373634758e-31
8.209850000000000136e+01,7.751822742928826287e-31,7.541853212076412805e-31,8.123435602199260987e-31,7.409968379720620073e-31,8.652270539869683053e-31
8.289750000000000796e+01,7.751004016056070194e-31,7.541853211293956644e-31,8.106986732494572575e-31,7.409968379720620073e-31,8.626051174578605617e-31
8.369650000000001455e+01,7.742660704450967275e-31,7.535871807281409557e-31,8.092729465523921246e-31,7.396696787334653343e-31,8.602095472259054600e-31
8.449549999999999272e+01,7.739862962887068213e-31,7.532383363058380785e-31,8.074439209025312165e-31,7.396696787334653343e-31,8.519153407177658602e-31
8.529449999999999932e+01,7.726668104299141374e-31,7.531939241880342146e-31,8.061664216660842909e-31,7.396696787334654219e-31,8.498771263058096751e-31
8.609350000000000591e+01,7.716543747488455174e-31,7.523793569684253752e-31,8.018858767084438150e-31,7.392236934898068339e-31,8.471858697332100952e-31
8.689249999999999829e+01,7.712117138816692829e-31,7.517833436207562248e-31,7.994074600917968446e-31,7.386088447518306884e-31,8.417211695695393167e-31
8.769150000000000489e+01,7.697767348436787718e-31,7.514162523168615304e-31,7.977390107626429168e-31,7.381727016494006615e-31,8.379558202267839497e-31
8.849049999999999727e+01,7.687685332116848207e-31,7.508756251605328804e-31,7.930266681598872662e-31,7.379228044501163255e-31,8.324522052844846290e-31
8.928950000000000387e+01,7.683455070377529447e-31,7.508756252852323287e-31,7.920542362595079857e-31,7.379228045175658127e-31,8.324522052844846290e-31
9.008850000000001046e+01,7.677583970265016364e-31,7.507446181421757511e-31,7.917811101028118192e-31,7.379228045857837370e-31,8.291692905666877731e-31
9.088750000000001705e+01,7.670245762053774240e-31,7.503510037678558352e-31,7.908331927701628354e-31,7.379228046513731757e-31,8.265809303626537409e-31
9.168649999999999523e+01,7.668320386459359187e-31,7.501844646064824322e-31,7.907699923336233430e-31,7.379228087029695836e-31,8.247879573894676452e-31
9.248550000000000182e+01,7.658558193314570215e-31,7.491512569854450973e-31,7.895738725326467530e-31,7.379228037011748450e-31,8.230555304708922000e-31
9.328450000000000841e+01,7.651761006459169990e-31,7.489391767156468542e-31,7.885719108635843516e-31,7.375013092487971867e-31,8.224802478344499520e-31
9.408350000000001501e+01,7.648869856250897161e-31,7.485355364019742214e-31,7.879487033552939542e-31,7.369502088903517864e-31,8.217492691194181898e-31
9.488250000000000739e+01,7.642185410421690979e-31,7.479183337647954922e-31,7.865177099613534012e-31,7.369502089820580128e-31,8.167995374838725230e-31
9.568149999999999977e+01,7.626956599165524085e-31,7.468961014866384118e-31,7.846593042235058916e-31,7.359181120596718135e-31,8.154987535226335451e-31
9.648050000000000637e+01,7.621008093654313671e-31,7.459928315302340418e-31,7.834828493688349162e-31,7.348152609998176867e-31,8.126952701591392685e-31
9.727949999999999875e+01,7.611828024602156647e-31,7.447860185578762708e-31,7.820434703850057511e-31,7.335448869566970292e-31,8.093897352581769449e-31
9.807849999999999113e+01,7.604250800517631182e-31,7.445574488115471494e-31,7.811290637061678073e-31,7.313210501306424102e-31,8.067391392192847093e-31
9.887749999999999773e+01,7.596483422683522172e-31,7.438319582646515355e-31,7.797255982338555671e-31,7.288981916418355605e-31,8.019735240663861703e-31
9.967650000000000432e+01,7.591447356243605491e-31,7.436139181043562037e-31,7.795341312522675478e-31,7.288981916418355605e-31,8.019735240663861703e-31
1.004755000000000109e+02,7.585830009644095714e-31,7.434679533970674496e-31,7.778050603476323275e-31,7.280972229385810043e-31,8.012778960075066997e-31
1.012744999999999891e+02,7.578492736941737629e-31,7.431997722356964247e-31,7.765402850760086132e-31,7.274044415376565709e-31,8.006382302135784643e-31
1.020734999999999957e+02,7.573066057835630178e-31,7.424543770351378129e-31,7.757348567125971137e-31,7.274044415376566585e-31,7.997544367973020362e-31
1.028725000000000023e+02,7.564859006184364554e-31,7.418226249247191727e-31,7.750644882991539222e-31,7.255999511627162048e-31,7.980051824443648190e-31
1.036715000000000089e+02,7.551352070628928816e-31,7.410335946929112369e-31,7.738061778524463942e-31,7.255999511627162048e-31,7.945086285122980483e-31
1.044705000000000013e+02,7.546917712963863471e-31,7.402872917503684403e-31,7.717474827241952996e-31,7.248633124302076869e-31,7.916617839312589627e-31
1.052695000000000078e+02,7.537061655361233087e-31,7.392258432849846827e-31,7.715373891945390208e-31,7.240789111342214824e-31,7.902065631284623010e-31
1.060685000000000002e+02,7.520267161876950570e-31,7.376348140665015974e-31,7.696929943781309511e-31,7.237412628431378323e-31,7.886826066118139120e-31
1.068675000000000068e+02,7.517259705182522889e-31,7.373195151706277047e-31,7.677360235243712296e-31,7.233707896799781571e-31,7.853966003300795735e-31
1.076665000000000134e+02,7.512635962125241545e-31,7.367967787424402671e-31,7.669609773995498566e-31,7.233707897238416016e-31,7.842326560937012413e-31
1.084654999999999916e+02,7.505023744815371248e-31,7.364339637404343874e-31,7.656915084529848648e-31,7.227305394505773594e-31,7.842326560937012413e-31
1.092644999999999982e+02,7.499376972642718398e-31,7.346624350586059975e-31,7.649351627022747279e-31,7.225246666061751441e-31,7.814789195785022751e-31
1.100635000000000048e+02,7.492732441322920701e-31,7.341647140239519237e-31,7.647161854051182118e-31,7.223782034163069394e-31,7.802631632914991325e-31
1.108625000000000114e+02,7.484043855571593238e-31,7.334704856214262235e-31,7.639099715972536548e-31,7.214138677609437162e-31,7.802631623865954976e-31
1.116615000000000180e+02,7.478747372063978188e-31,7.326389498880493156e-31,7.627379441338625312e-31,7.197547022790211357e-31,7.775854637260786571e-31
1.124605000000000246e+02,7.472556426783529844e-31,7.322832979402571492e-31,7.615695767500001375e-31,7.196423291747461883e-31,7.765304779651813136e-31
1.132595000000000027e+02,7.463589922003119586e-31,7.310156378640686478e-31,7.609931055528174031e-31,7.177371209895370512e-31,7.761968567865689246e-31
1.140585000000000093e+02,7.450821746057693934e-31,7.293289284145637185e-31,7.597484824331152618e-31,7.162350895997637468e-31,7.746478194712943123e-31
1.148575000000000159e+02,7.440290675194606151e-31,7.283881110593232900e-31,7.585528446570668891e-31,7.152552996635818548e-31,7.729207060163732535e-31
1.156565000000000083e+02,7.432696074823449259e-31,7.270236698412349449e-31,7.575166161839248991e-31,7.145060632787786351e-31,7.716553182961515542e-31
1.164555000000000007e+02,7.416922837357637875e-31,7.248656111720707966e-31,7.556487070427173293e-31,7.141459270268783180e-31,7.689646937197338458e-31
1.172544999999999931e+02,7.411147868313126291e-31,7.241616556045052962e-31,7.548354493654058268e-31,7.139239551754358027e-31,7.670097994503729968e-31
1.180534999999999854e+02,7.403513917471953211e-31,7.237029724969214458e-31,7.542195667387168697e-31,7.135981710421774990e-31,7.663820491429888364e-31
1.188524999999999920e+02,7.394367380849005628e-31,7.228468427612146413e-31,7.533874422570982976e-31,7.121521677866770131e-31,7.657613882808222691e-31
1.196514999999999986e+02,7.385760424894561293e-31,7.223405489348617051e-31,7.531075588376185494e-31,7.120501919057809072e-31,7.657613661918248329e-31
1.204504999999999910e+02,7.372543353013466580e-31,7.206004219758268047e-31,7.523844269459155163e-31,7.098637836189030409e-31,7.648364559740562513e-31
1.212494999999999976e+02,7.362709787143321773e-31,7.191995617160467883e-31,7.522313174567697032e-31,7.081832385893422381e-31,7.648364559740562513e-31
1.220484999999999900e+02,7.338358910015356337e-31,7.177276360766495171e-31,7.515066913280839102e-31,7.053347922351746630e-31,7.641633450602001119e-31
1.228474999999999966e+02,7.321529816827303149e-31,7.155440565215611699e-31,7.494381662239254623e-31,7.040220291283352042e-31,7.634023502967454388e-31
1.236465000000000032e+02,7.299313888346676504e-31,7.139816760053281144e-31,7.469139238303637664e-31,7.024564742972277730e-31,7.588481818996955350e-31
