vmin_low,vmin_high,vmin_mid,flux
8.329700000000001125e+01,8.409600000000000364e+01,8.369650000000001455e+01,7.597181685491560219e-33
8.409600000000000364e+01,8.489499999999999602e+01,8.449549999999999272e+01,7.597181685491560219e-33
8.489499999999999602e+01,8.569400000000000261e+01,8.529449999999999932e+01,7.597181685491560219e-33
8.569400000000000261e+01,8.649299999999999500e+01,8.609350000000000591e+01,7.597181685491560219e-33
8.649299999999999500e+01,8.729200000000000159e+01,8.689249999999999829e+01,7.597181685491560219e-33
8.729200000000000159e+01,8.809100000000000819e+01,8.769150000000000489e+01,7.597181685491560219e-33
8.809100000000000819e+01,8.889000000000000057e+01,8.849049999999999727e+01,7.597181685491560219e-33
8.889000000000000057e+01,8.968899999999999295e+01,8.928950000000000387e+01,7.597181685491560219e-33
8.968899999999999295e+01,9.048800000000001376e+01,9.008850000000001046e+01,7.597181685491558851e-33
9.048800000000001376e+01,9.128700000000000614e+01,9.088750000000001705e+01,7.597181685491560219e-33
9.128700000000000614e+01,9.208599999999999852e+01,9.168649999999999523e+01,7.597181685491560219e-33
9.208599999999999852e+01,9.288500000000000512e+01,9.248550000000000182e+01,7.597181685491560219e-33
9.288500000000000512e+01,9.368400000000001171e+01,9.328450000000000841e+01,7.597181685491560219e-33
9.368400000000001171e+01,9.448300000000000409e+01,9.408350000000001501e+01,7.597181685491560219e-33
9.448300000000000409e+01,9.528200000000001069e+01,9.488250000000000739e+01,7.597181685491560219e-33
9.528200000000001069e+01,9.608100000000000307e+01,9.568149999999999977e+01,7.597181685491560219e-33
9.608100000000000307e+01,9.687999999999999545e+01,9.648050000000000637e+01,7.597181685491560219e-33
9.687999999999999545e+01,9.767900000000000205e+01,9.727949999999999875e+01,7.597181685491560219e-33
9.767900000000000205e+01,9.847799999999999443e+01,9.807849999999999113e+01,7.597181685491560219e-33
9.847799999999999443e+01,9.927700000000000102e+01,9.887749999999999773e+01,7.597181685491560219e-33
9.927700000000000102e+01,1.000760000000000076e+02,9.967650000000000432e+01,7.597181685491560219e-33
1.000760000000000076e+02,1.008750000000000000e+02,1.004755000000000109e+02,7.597181685491560219e-33
1.008750000000000000e+02,1.016739999999999924e+02,1.012744999999999891e+02,7.597181685491560219e-33
1.016739999999999924e+02,1.024729999999999990e+02,1.020734999999999957e+02,7.597181685491560219e-33
1.024729999999999990e+02,1.032720000000000056e+02,1.028725000000000023e+02,7.597181685491560219e-33
1.032720000000000056e+02,1.040709999999999980e+02,1.036715000000000089e+02,7.597181685491560219e-33
1.040709999999999980e+02,1.048700000000000045e+02,1.044705000000000013e+02,7.597181685491560219e-33
1.048700000000000045e+02,1.056690000000000111e+02,1.052695000000000078e+02,7.597181685491560219e-33
1.056690000000000111e+02,1.064680000000000035e+02,1.060685000000000002e+02,7.597181685491560219e-33
1.064680000000000035e+02,1.072670000000000101e+02,1.068675000000000068e+02,7.597181685491560219e-33
1.072670000000000101e+02,1.080660000000000025e+02,1.076665000000000134e+02,7.597181685491560219e-33
1.080660000000000025e+02,1.088649999999999949e+02,1.084654999999999916e+02,7.597181685491560219e-33
1.088649999999999949e+02,1.096640000000000157e+02,1.092644999999999982e+02,7.597181685491560219e-33
1.096640000000000157e+02,1.104630000000000081e+02,1.100635000000000048e+02,7.597181685491560219e-33
1.104630000000000081e+02,1.112620000000000005e+02,1.108625000000000114e+02,7.597181685491560219e-33
1.112620000000000005e+02,1.120610000000000213e+02,1.116615000000000180e+02,7.597181685491560219e-33
1.120610000000000213e+02,1.128600000000000136e+02,1.124605000000000246e+02,7.597181685491560219e-33
1.128600000000000136e+02,1.136590000000000060e+02,1.132595000000000027e+02,7.597181685491560219e-33
1.136590000000000060e+02,1.144580000000000126e+02,1.140585000000000093e+02,7.597181685491560219e-33
1.144580000000000126e+02,1.152570000000000050e+02,1.148575000000000159e+02,7.597181685491560219e-33
1.152570000000000050e+02,1.160560000000000116e+02,1.156565000000000083e+02,7.597181685491560219e-33
1.160560000000000116e+02,1.168549999999999898e+02,1.164555000000000007e+02,7.597181685491558851e-33
1.168549999999999898e+02,1.176539999999999964e+02,1.172544999999999931e+02,7.597181685491560219e-33
1.176539999999999964e+02,1.184529999999999887e+02,1.180534999999999854e+02,7.597181685491560219e-33
1.184529999999999887e+02,1.192519999999999953e+02,1.188524999999999920e+02,7.597181685491560219e-33
1.192519999999999953e+02,1.200509999999999877e+02,1.196514999999999986e+02,7.597181685491560219e-33
1.200509999999999877e+02,1.208499999999999943e+02,1.204504999999999910e+02,7.597181685491560219e-33
1.208499999999999943e+02,1.216490000000000009e+02,1.212494999999999976e+02,7.597181685491560219e-33
1.216490000000000009e+02,1.224479999999999933e+02,1.220484999999999900e+02,7.597181685491558851e-33
1.224479999999999933e+02,1.232469999999999857e+02,1.228474999999999966e+02,7.597181685491558851e-33
1.232469999999999857e+02,1.240460000000000065e+02,1.236465000000000032e+02,7.597181685491560219e-33
1.240460000000000065e+02,1.248449999999999989e+02,1.244455000000000098e+02,7.597181685491560219e-33
1.248449999999999989e+02,1.256439999999999912e+02,1.252444999999999879e+02,7.597181685491560219e-33
1.256439999999999912e+02,1.264429999999999978e+02,1.260434999999999945e+02,7.597181685491558851e-33
1.264429999999999978e+02,1.272420000000000044e+02,1.268425000000000011e+02,7.597181685491560219e-33
1.272420000000000044e+02,1.280409999999999968e+02,1.276415000000000077e+02,7.597181685491560219e-33
1.280409999999999968e+02,1.288400000000000034e+02,1.284404999999999859e+02,7.597181685491560219e-33
1.288400000000000034e+02,1.296390000000000100e+02,1.292395000000000209e+02,7.597181685491560219e-33
1.296390000000000100e+02,1.304379999999999882e+02,1.300384999999999991e+02,7.597181685491560219e-33
1.304379999999999882e+02,1.312369999999999948e+02,1.308374999999999773e+02,7.597181685491560219e-33
1.312369999999999948e+02,1.320360000000000298e+02,1.316365000000000123e+02,7.597181685491560219e-33
1.320360000000000298e+02,1.328350000000000080e+02,1.324355000000000189e+02,7.597181685491560219e-33
1.328350000000000080e+02,1.336340000000000146e+02,1.332345000000000255e+02,7.597181685491560219e-33
1.336340000000000146e+02,1.344329999999999927e+02,1.340335000000000036e+02,7.597181685491560219e-33
1.344329999999999927e+02,1.352319999999999993e+02,1.348324999999999818e+02,7.597181685491560219e-33
1.352319999999999993e+02,1.360310000000000059e+02,1.356315000000000168e+02,7.597181685491558851e-33
1.360310000000000059e+02,1.368300000000000125e+02,1.364304999999999950e+02,7.597181685491560219e-33
1.368300000000000125e+02,1.376290000000000191e+02,1.372295000000000300e+02,7.597181685491560219e-33
1.376290000000000191e+02,1.384280000000000257e+02,1.380285000000000082e+02,7.597181685491560219e-33
1.384280000000000257e+02,1.392270000000000039e+02,1.388275000000000148e+02,7.597181685491560219e-33
1.392270000000000039e+02,1.400260000000000105e+02,1.396265000000000214e+02,7.597181685491560219e-33
1.400260000000000105e+02,1.408249999999999886e+02,1.404254999999999995e+02,7.597181685491560219e-33
1.408249999999999886e+02,1.416239999999999952e+02,1.412244999999999777e+02,7.597181685491558851e-33
1.416239999999999952e+02,1.424230000000000018e+02,1.420235000000000127e+02,7.597181685491560219e-33
1.424230000000000018e+02,1.432220000000000084e+02,1.428224999999999909e+02,7.597181685491558851e-33
1.432220000000000084e+02,1.440209999999999866e+02,1.436214999999999975e+02,7.597181685491560219e-33
1.440209999999999866e+02,1.448199999999999932e+02,1.444205000000000041e+02,7.597181685491558851e-33
1.448199999999999932e+02,1.456189999999999714e+02,1.452194999999999823e+02,7.597181685491560219e-33
1.456189999999999714e+02,1.464180000000000064e+02,1.460184999999999889e+02,7.597181685491560219e-33
1.464180000000000064e+02,1.472170000000000130e+02,1.468174999999999955e+02,7.597181685491560219e-33
1.472170000000000130e+02,1.480159999999999911e+02,1.476165000000000020e+02,7.597181685491560219e-33
1.480159999999999911e+02,1.488149999999999977e+02,1.484155000000000086e+02,7.597181685491560219e-33
1.488149999999999977e+02,1.496140000000000043e+02,1.492144999999999868e+02,7.597181685491560219e-33
1.496140000000000043e+02,1.504129999999999825e+02,1.500134999999999934e+02,7.597181685491558851e-33
1.504129999999999825e+02,1.512120000000000175e+02,1.508125000000000000e+02,7.597181685491560219e-33
1.512120000000000175e+02,1.520109999999999957e+02,1.516115000000000066e+02,7.597181685491560219e-33
1.520109999999999957e+02,1.528100000000000023e+02,1.524105000000000132e+02,7.597181685491560219e-33
1.528100000000000023e+02,1.536090000000000089e+02,1.532094999999999914e+02,7.597181685491560219e-33
1.536090000000000089e+02,1.544079999999999870e+02,1.540084999999999980e+02,7.597181685491560219e-33
1.544079999999999870e+02,1.552069999999999936e+02,1.548075000000000045e+02,7.597181685491558851e-33
1.552069999999999936e+02,1.560060000000000286e+02,1.556065000000000111e+02,7.597181685491560219e-33
1.560060000000000286e+02,1.568050000000000068e+02,1.564055000000000177e+02,7.597181685491560219e-33
1.568050000000000068e+02,1.576040000000000134e+02,1.572044999999999959e+02,7.597181685491560219e-33
1.576040000000000134e+02,1.584029999999999916e+02,1.580035000000000025e+02,7.597181685491560219e-33
1.584029999999999916e+02,1.592019999999999982e+02,1.588025000000000091e+02,7.597181685491560219e-33
1.592019999999999982e+02,1.600010000000000048e+02,1.596014999999999873e+02,7.597181685491558851e-33
1.600010000000000048e+02,1.608000000000000114e+02,1.604005000000000223e+02,7.597181685491560219e-33
1.608000000000000114e+02,1.615990000000000180e+02,1.611995000000000005e+02,7.597181685491560219e-33
1.615990000000000180e+02,1.623980000000000246e+02,1.619985000000000355e+02,7.597181685491560219e-33
1.623980000000000246e+02,1.631970000000000027e+02,1.627975000000000136e+02,7.597181685491560219e-33
1.631970000000000027e+02,1.639960000000000093e+02,1.635964999999999918e+02,7.597181685491560219e-33
1.639960000000000093e+02,1.647949999999999875e+02,1.643954999999999984e+02,7.597181685491560219e-33
1.647949999999999875e+02,1.655940000000000225e+02,1.651945000000000050e+02,7.597181685491558851e-33
1.655940000000000225e+02,1.663930000000000291e+02,1.659935000000000400e+02,7.597181685491560219e-33
1.663930000000000291e+02,1.671920000000000073e+02,1.667925000000000182e+02,7.597181685491560219e-33
