1,2.1039749460714464e-13
2,1.272146401935355e-13
3,5.5000247454612625e-14
4,1.700290822688802e-14
5,3.758484685420494e-15
6,5.940640667179032e-16
7,6.714039199259659e-17
8,5.425667277088936e-18
9,3.133499724256395e-19
10,1.2772996812372278e-20
11,2.0107369901185022e-22
12,1.0316396950177239e-25
13,1.0312391071150814e-25
14,1.030807210233206e-25
15,1.0303441720354316e-25
16,1.0298501716293316e-25
17,1.0293253993620552e-25
18,1.0287700566030307e-25
19,1.0281843555143307e-25
20,1.0275685188090184e-25
21,1.026922779497794e-25
22,1.0262473806242999e-25
23,1.0255425749894396e-25
24,1.0248086248651012e-25
25,1.0240458016976755e-25
26,1.0232543858017882e-25
27,1.022434666044678e-25
28,1.0215869395216581e-25
29,1.0207115112231314e-25
30,1.019808693693628e-25
31,1.0188788066833535e-25
32,1.0179221767927522e-25
33,1.0169391371105985e-25
34,1.0159300268461377e-25
35,1.0148951909558216e-25
36,1.013834979765175e-25
37,1.0127497485863574e-25
38,1.0116398573319834e-25
39,1.0105056701257656e-25
40,1.0093475549105748e-25
41,1.0081658830544836e-25
42,1.0069610289553996e-25
43,1.0057333696448651e-25
44,1.0044832843916343e-25
45,1.0032111543056104e-25
46,1.0019173619427513e-25
47,1.0006022909115293e-25
48,9.992663254815489e-26
49,9.979098501949057e-26
50,9.96533249480876e-26
51,9.951369072745183e-26
52,9.937212066397571e-26
53,9.922865293975172e-26
54,9.908332557594662e-26
55,9.893617639679019e-26
56,9.878724299423311e-26
57,9.863656269332498e-26
58,9.848417251836366e-26
59,9.833010915986466e-26
60,9.817440894239884e-26
61,9.801710779334266e-26
62,9.785824121258679e-26
63,9.769784424324301e-26
64,9.753595144339055e-26
65,9.737259685889934e-26
66,9.720781399736497e-26
67,9.704163580318923e-26
68,9.687409463383659e-26
69,9.670522223729506e-26
70,9.653504973076699e-26
71,9.636360758061322e-26
72,9.619092558357108e-26
73,9.601703284926386e-26
74,9.584195778401728e-26
75,9.566572807599525e-26
76,9.548837068166449e-26
77,9.530991181359544e-26
78,9.513037692960285e-26
79,9.49497907232282e-26
80,9.476817711556226e-26
81,9.458555924840399e-26
82,9.440195947874862e-26
83,9.421739937459591e-26
84,9.403189971206674e-26
85,9.384548047381255e-26
86,9.365816084870194e-26
87,9.346995923276334e-26
88,9.328089323136322e-26
89,9.309097966259494e-26
90,9.290023456185199e-26
91,9.270867318755677e-26
92,9.251631002801541e-26
93,9.23231588093647e-26
94,9.212923250457821e-26
95,9.19345433434947e-26
96,9.173910282383156e-26
97,9.154292172314449e-26
98,9.134601011169241e-26
99,9.114837736616634e-26
100,9.095003218423945e-26
101,9.075098259989456e-26
102,9.055123599948403e-26
103,9.035079913847727e-26
104,9.014967815884962e-26
105,8.994787860706603e-26
106,8.974540545261313e-26
107,8.954226310703218e-26
108,8.933845544340614e-26
109,8.913398581625379e-26
110,8.892885708178348e-26
111,8.872307161846043e-26
112,8.85166313478407e-26
113,8.830953775562645e-26
114,8.810179191289693e-26
115,8.789339449747057e-26
116,8.768434581535501e-26
117,8.747464582224136e-26
118,8.726429414500136e-26
119,8.705329010314662e-26
120,8.684163273020993e-26
121,8.662932079501041e-26
122,8.641635282276543e-26
123,8.620272711601319e-26
124,8.598844177531183e-26
125,8.577349471968198e-26
126,8.555788370676119e-26
127,8.534160635264105e-26
128,8.512466015135736e-26
129,8.490704249400818e-26
130,8.468875068747357e-26
131,8.446978197271437e-26
132,8.425013354262758e-26
133,8.402980255943912e-26
134,8.380878617161469e-26
135,8.358708153027283e-26
136,8.336468580508458e-26
137,8.31415961996465e-26
138,8.29178099663154e-26
139,8.269332442049441e-26
140,8.246813695436202e-26
141,8.224224505003678e-26
142,8.201564629217251e-26
143,8.178833837997952e-26
144,8.156031913866977e-26
145,8.13315865303243e-26
146,8.110213866418327e-26
147,8.087197380636011e-26
148,8.064109038898226e-26
149,8.040948701876271e-26
150,8.017716248500675e-26
151,7.994411576706079e-26
152,7.97103460412097e-26
153,7.947585268703123e-26
154,7.924063529321595e-26
155,7.900469366286328e-26
156,7.876802781826352e-26
157,7.853063800517741e-26
158,7.829252469662569e-26
159,7.805368859620042e-26
160,7.781413064091198e-26
161,7.757385200358488e-26
162,7.733285409481674e-26
163,7.709113856451465e-26
164,7.684870730302388e-26
165,7.660556244186387e-26
166,7.63617063540865e-26
167,7.611714165427275e-26
168,7.587187119818211e-26
169,7.562589808207163e-26
170,7.537922564169909e-26
171,7.513185745102655e-26
172,7.488379732063958e-26
173,7.463504929589751e-26
174,7.438561765483013e-26
175,7.413550690579578e-26
176,7.388472178491601e-26
177,7.363326725330101e-26
178,7.338114849408075e-26
179,7.312837090925558e-26
180,7.287494011638009e-26
181,7.262086194509412e-26
182,7.236614243351335e-26
183,7.211078782449291e-26
184,7.185480456177585e-26
185,7.15981992860388e-26
186,7.134097883084607e-26
187,7.108315021852358e-26
188,7.082472065596316e-26
189,7.056569753036755e-26
190,7.030608840494599e-26
191,7.004590101456975e-26
192,6.978514326139642e-26
193,6.952382321047179e-26
194,6.926194908531709e-26
195,6.899952926350949e-26
196,6.873657227226282e-26
197,6.847308678401547e-26
198,6.820908161203176e-26
199,6.794456570602276e-26
200,6.76795481477922e-26
201,6.741403814691236e-26
202,6.714804503643483e-26
203,6.68815782686409e-26
204,6.661464741083487e-26
205,6.634726214118453e-26
206,6.607943224461196e-26
207,6.581116760873766e-26
208,6.554247821988063e-26
209,6.527337415911683e-26
210,6.500386559839815e-26
211,6.473396279673359e-26
212,6.446367609643428e-26
213,6.419301591942366e-26
214,6.392199276361373e-26
215,6.365061719934833e-26
216,6.337889986591393e-26
217,6.31068514681185e-26
218,6.283448277293864e-26
219,6.256180460623483e-26
220,6.228882784953489e-26
221,6.201556343688539e-26
222,6.174202235177038e-26
223,6.146821562409714e-26
224,6.119415432724813e-26
225,6.091984957519854e-26
226,6.064531251969821e-26
227,6.037055434751748e-26
228,6.009558627775562e-26
229,5.982041955921054e-26
230,5.954506546780916e-26
231,5.926953530409678e-26
232,5.899384039078426e-26
233,5.871799207035185e-26
234,5.844200170270818e-26
235,5.81658806629031e-26
236,5.788964033889315e-26
237,5.761329212935771e-26
238,5.733684744156534e-26
239,5.7060317689288e-26
240,5.678371429076225e-26
241,5.650704866669597e-26
242,5.623033223831902e-26
243,5.595357642547678e-26
244,5.567679264476482e-26
245,5.539999230770377e-26
246,5.512318681895265e-26
247,5.484638757455984e-26
248,5.456960596024997e-26
249,5.429285334974587e-26
250,5.40161411031241e-26
251,5.3739480565203e-26
252,5.346288306396224e-26
253,5.318635990899256e-26
254,5.290992238997472e-26
255,5.263358177518664e-26
256,5.235734931003788e-26
257,5.208123621563e-26
258,5.180525368734266e-26
259,5.152941289344389e-26
260,5.12537249737239e-26
261,5.097820103815191e-26
262,5.0702852165554703e-26
263,5.0427689402316644e-26
264,5.015272376110013e-26
265,4.987796621958602e-26
266,4.9603427719233297e-26
267,4.9329119164057306e-26
268,4.9055051419426263e-26
269,4.8781235310875184e-26
270,4.8507681622936904e-26
271,4.823440109798974e-26
272,4.796140443512118e-26
