vmin_mid,median,lo68,hi68,lo95,hi95
4.595499999999999474e+00,9.665905219439843676e-33,8.072571013346505540e-33,2.054155452802588388e-32,7.271385487271414752e-33,3.733570008765889319e-32
5.394499999999999851e+00,9.665905219439843676e-33,8.072571013346505540e-33,2.054155452802588388e-32,7.271385487271414752e-33,3.733570008765889319e-32
6.193500000000000227e+00,8.613751270822745283e-33,7.700012724191749447e-33,1.205719139528753342e-32,7.098091989558705261e-33,1.888823233343257679e-32
6.992500000000000604e+00,8.551374953113218493e-33,7.660714970743722171e-33,1.109355853380443330e-32,7.073211241142214170e-33,1.708839359630407358e-32
7.791500000000000981e+00,8.388593355748131796e-33,7.612169762236760883e-33,9.544542690020303392e-33,6.932586762178026086e-33,1.324820614065638431e-32
8.590500000000000469e+00,8.343012385147006753e-33,7.598569533786816530e-33,9.272776059468316108e-33,6.896264393228744627e-33,1.120773064048040148e-32
9.389499999999999957e+00,8.299032495148960226e-33,7.579663192799206786e-33,9.145237818040815591e-33,6.896264393228743258e-33,1.070013306399614573e-32
1.018849999999999945e+01,8.288483618911748494e-33,7.565463408699723598e-33,9.098652784974490755e-33,6.896264393228743258e-33,1.033073132018113152e-32
1.098750000000000071e+01,8.281238988231147532e-33,7.554462672826079261e-33,9.078509106059246134e-33,6.896264393228743258e-33,1.008574166241469126e-32
1.178650000000000020e+01,8.281238988231147532e-33,7.554462672826079261e-33,9.078509106059246134e-33,6.896264393228743258e-33,1.008574166241469126e-32
1.258549999999999969e+01,8.279640361225580237e-33,7.554462672826079261e-33,9.078509106059244766e-33,6.896264393228743258e-33,1.008574166241469126e-32
1.338449999999999918e+01,8.279640361225580237e-33,7.554462672826077892e-33,9.078509106059244766e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.418350000000000222e+01,8.279640361225580237e-33,7.554462672826079261e-33,9.078509106059244766e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.498250000000000171e+01,8.279640361225580237e-33,7.554462672826079261e-33,9.078509106059244766e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.578150000000000119e+01,8.279640361225580237e-33,7.554462672826079261e-33,9.078509106059244766e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.658050000000000068e+01,8.279640361225506340e-33,7.554462672826079261e-33,9.070125587373482343e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.737950000000000017e+01,8.279640361225506340e-33,7.536035170021857437e-33,9.070125587373482343e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.817849999999999966e+01,8.279640361225506340e-33,7.536035170021858806e-33,9.068530965082816832e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.897749999999999915e+01,8.270335690103943268e-33,7.536035170021858806e-33,9.062391546621475451e-33,6.896264393228744627e-33,1.008574166241469126e-32
1.977649999999999864e+01,8.257927830666284490e-33,7.519436023195220463e-33,9.033869958752393835e-33,6.878001888468215998e-33,1.008574166241469126e-32
2.057549999999999812e+01,8.235756905692270536e-33,7.511348408244850219e-33,8.986558568519647539e-33,6.839589951187604264e-33,1.003091010600246120e-32
2.137450000000000117e+01,8.214877916246316818e-33,7.466240763378584668e-33,8.948294789748952666e-33,6.820906842036497850e-33,9.944834304917866683e-33
2.217350000000000065e+01,8.198648212959295769e-33,7.439836477066981485e-33,8.928209937886142291e-33,6.775076132426092888e-33,9.877513541047016935e-33
2.297250000000000369e+01,8.174481376063092468e-33,7.437275601462434626e-33,8.888666000218383937e-33,6.775076132426092888e-33,9.877513541047016935e-33
2.377150000000000318e+01,8.168964785744434793e-33,7.415412012390188329e-33,8.880928515706024377e-33,6.749751016384114862e-33,9.876062837484605559e-33
2.457050000000000267e+01,8.159414276012655609e-33,7.405141471375462495e-33,8.862198190097416057e-33,6.699543721038501602e-33,9.778926843835114069e-33
2.536950000000000216e+01,8.133103280429764165e-33,7.380065336883466552e-33,8.836127565450655464e-33,6.630715972148048121e-33,9.691314691416415901e-33
2.616850000000000165e+01,8.111830106797629092e-33,7.351048162254030175e-33,8.816584267041718365e-33,6.587763391730175578e-33,9.648557886858828088e-33
2.696750000000000114e+01,8.094409548333153362e-33,7.348544753735562936e-33,8.803115822821363891e-33,6.587763391730175578e-33,9.578151994298851103e-33
2.776650000000000063e+01,8.077464391269707118e-33,7.316478318293824787e-33,8.781687456230568693e-33,6.575634161864955521e-33,9.545684158629120479e-33
2.856550000000000367e+01,7.969434771692048934e-33,7.231918789720959422e-33,8.731094266707160334e-33,6.483679017691000843e-33,9.472419759709130356e-33
2.936450000000000315e+01,7.959452006717630590e-33,7.205981993248928212e-33,8.727376510708937129e-33,6.417203053892048964e-33,9.472419759709130356e-33
3.016349999999999909e+01,7.948027849651983928e-33,7.194247133437690860e-33,8.708052140437639575e-33,6.338442000870941922e-33,9.374266477118157252e-33
3.096249999999999858e+01,7.922819173522374929e-33,7.181790091255211301e-33,8.671685977324214112e-33,6.338442000870941922e-33,9.357520386012494899e-33
3.176149999999999807e+01,7.912034078372702387e-33,7.179924194925266534e-33,8.651099837456181938e-33,6.338442000870941922e-33,9.357520386012494899e-33
3.256050000000000466e+01,7.895382080955804656e-33,7.171398304514982472e-33,8.621889230300120213e-33,6.338442000870941922e-33,9.328919803176482664e-33
3.335950000000000415e+01,7.886396301886280029e-33,7.135566504730933956e-33,8.607648866482362942e-33,6.314730498929136164e-33,9.290669533187896347e-33
