vmin_mid,median,lo68,hi68,lo95,hi95
1.338449999999999918e+01,8.582268472496756511e-32,8.173237790255369631e-32,9.494533857269170229e-32,7.972057159890506658e-32,1.196901576894731111e-31
1.418350000000000222e+01,8.577570705504546775e-32,8.173237790255369631e-32,9.486823979426672281e-32,7.972057159890506658e-32,1.120826672075437808e-31
1.498250000000000171e+01,8.577570705504546775e-32,8.173237790255369631e-32,9.434691819831559822e-32,7.972057159890506658e-32,1.067428361505585177e-31
1.578150000000000119e+01,8.577570705504546775e-32,8.173237790255369631e-32,9.434691819831559822e-32,7.972057159890506658e-32,1.067428361505585177e-31
1.658050000000000068e+01,8.573347198488654716e-32,8.173237790255369631e-32,9.434691819831559822e-32,7.972057159890506658e-32,1.056898346373749544e-31
1.737950000000000017e+01,8.573347198488654716e-32,8.173237790255369631e-32,9.406687392286651329e-32,7.972057159890506658e-32,1.053600870401209409e-31
1.817849999999999966e+01,8.573347198488654716e-32,8.171926153433722489e-32,9.406687392286651329e-32,7.972057159890507753e-32,1.049673486386139532e-31
1.897749999999999915e+01,8.383745523501048080e-32,8.092676796278071929e-32,8.823843263382517111e-32,7.869753699986005514e-32,9.593763624017557238e-32
1.977649999999999864e+01,8.383745897563068975e-32,8.092676910449134717e-32,8.823843415093572053e-32,7.869753902774067620e-32,9.531376730691585551e-32
2.057549999999999812e+01,8.379027361730493494e-32,8.090884502538349403e-32,8.785353577957691240e-32,7.869753902774067620e-32,9.523079625740036555e-32
2.137450000000000117e+01,8.375843445506498712e-32,8.090884502538343929e-32,8.778430118505130252e-32,7.869753902774067620e-32,9.424877412573768441e-32
2.217350000000000065e+01,8.375843445506498712e-32,8.090884502538343929e-32,8.778430118505130252e-32,7.869753902774067620e-32,9.424877412573768441e-32
2.297250000000000369e+01,8.367208555410560838e-32,8.087487176964225660e-32,8.738900651162747807e-32,7.869753902774067620e-32,9.407986342738164080e-32
2.377150000000000318e+01,8.344415909564745034e-32,8.074993892573180167e-32,8.703336733367708213e-32,7.842462706828883699e-32,9.318252665259395122e-32
2.457050000000000267e+01,8.320181798556041961e-32,8.073072664459956056e-32,8.672116327725172572e-32,7.842462938458131421e-32,9.159690604441200533e-32
2.536950000000000216e+01,8.310347687753880291e-32,8.064001506714345999e-32,8.633318514735923015e-32,7.834784336925854979e-32,9.134482414246562156e-32
