vmin_mid,best_fit,lo68,hi68,lo95,hi95
1.338449999999999918e+01,8.267166524030062973e-32,7.908705790817555803e-32,9.357536497121664042e-31,7.809128476651538501e-32,2.078936364475710311e-30
1.418350000000000222e+01,8.267166524030062973e-32,8.009552855062108690e-32,2.207173225809864720e-31,7.809128476651538501e-32,4.106540966865600528e-31
1.498250000000000171e+01,8.267166524030062973e-32,8.009552855062108690e-32,1.329604099437199141e-31,7.809128476651538501e-32,1.848402271036377836e-31
1.578150000000000119e+01,8.267166524030062973e-32,8.009552855062108690e-32,1.113479997056972150e-31,7.809128476651538501e-32,1.434628507772547832e-31
1.737950000000000017e+01,8.267166524030062973e-32,8.009552855062108690e-32,9.443768786603270120e-32,7.809128476651538501e-32,1.201432928259316413e-31
2.057549999999999812e+01,8.267166524030062973e-32,8.009552855062108690e-32,8.977056080076714923e-32,7.908705790817555803e-32,9.934745655956742572e-32
2.457050000000000267e+01,8.236245047232101375e-32,7.979594924246276950e-32,8.719685242268900385e-32,7.779920188140450305e-32,9.649918003096710847e-32
3.016349999999999909e+01,8.236245047232101375e-32,7.979594924246276950e-32,8.719685242268900385e-32,7.879125055761373277e-32,9.408446493702616359e-32
3.815350000000000108e+01,8.197384561806520595e-32,7.941945372724018304e-32,8.569273548197500634e-32,7.743212747632106488e-32,9.014785842536593928e-32
5.093750000000000000e+01,8.141355489253886693e-32,7.593460688490895819e-32,8.403545651908029044e-32,7.218190532061824361e-32,8.729133173599658417e-32
6.931450000000000955e+01,7.316829476214175581e-32,0.000000000000000000e+00,8.358177571907213027e-32,0.000000000000000000e+00,8.572693513027055131e-32
