3.0483806717268316e-22,1.9774296919957564e-22,3.7600014288263863e-22,4.353943734031399e-22,5.247867031755905e-22,6.18890968394689e-22,5.95603322448134e-22,9.144803845286223e-22,7.827540825169761e-22,8.479120920875322e-22,9.571077900002073e-22,1.0642609671629704e-21,1.0977978191227104e-21,1.1370754792949062e-21,1.3372178839445785e-21,1.360287228646242e-21,1.3788909259595179e-21,1.5729158486978478e-21,1.6464696096260818e-21,1.7338086290624052e-21,1.6416228937393546e-21,1.8056106234742243e-21,1.788664794679986e-21,1.6370463536827167e-21,1.3717070810120756e-21,1.2254708019040494e-21,1.1202428947760723e-21,1.0370572467030807e-21,9.681122968444663e-22,9.09052364818678e-22,8.574602725209787e-22,8.117559374172199e-22,5.816645362292232e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2887685123905815e-23,2.9365570565791403e-22,6.071004775421332e-22,8.483797158455958e-22,1.1592172353804396e-21,1.4362652517866428e-21,1.4404973312530393e-21,1.5148426945194546e-21,1.7211659337390603e-21,2.080958954114634e-21,2.05895511911579e-21,2.1496741335428808e-21,2.3340754127938192e-21,2.418969780111141e-21,2.5261211548478934e-21,2.863047638892297e-21,2.8106324110169637e-21,3.0983750961777793e-21,3.0958272225984802e-21,2.9516757734187285e-21,2.6580429961594093e-21,2.2591355295435612e-21,2.0212426861143434e-21,1.8502974612678374e-21,1.7143492262910684e-21,1.6011092577764667e-21,1.5040632087280397e-21,1.419172256860092e-21,1.3437596950085024e-21,9.630040912049052e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19276593915986e-22,4.991612820224942e-22,9.955823297565096e-22,1.5655032129189595e-21,1.8465403488447173e-21,2.021557010111509e-21,2.3884713130189953e-21,2.609246064553844e-21,2.710133825790971e-21,3.0012782718225605e-21,3.190034825120927e-21,3.453770516282498e-21,3.657161283486158e-21,3.837113421818593e-21,3.990676448307813e-21,4.3145063601718135e-21,3.9882824803677444e-21,3.6806215710058444e-21,3.2208774139081367e-21,2.8169694639464123e-21,2.5641556943194516e-21,2.368990483518813e-21,2.2090754793537704e-21,2.0735003718959686e-21,1.955936940446711e-21,1.85231759939629e-21,1.759956856240427e-21,1.6768540173493003e-21,1.60156315106248e-21,3.894219603477749e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4498293832827039e-22,5.373067261891503e-22,1.1284535777388038e-21,1.9230519819383077e-21,2.2777946311797536e-21,2.6525642549941583e-21,3.1175660726788875e-21,3.3241862165838844e-21,3.7818968097266626e-21,4.0668200756231164e-21,4.2561423925541504e-21,4.653217050664222e-21,4.852509223363794e-21,5.102136022641368e-21,5.220876774795205e-21,4.830246874279047e-21,4.378962756514589e-21,3.756435881901818e-21,3.3395045600568546e-21,3.059130899651345e-21,2.8389445915444174e-21,2.656926238574853e-21,2.501849454448359e-21,2.3670203785659327e-21,2.2480802897714565e-21,2.1420440861747462e-21,2.046670265385899e-21,1.9601895935127285e-21,1.881193216935017e-21,1.8086080313045008e-21,1.3122455453090577e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.765478467824069e-23,3.753848617396095e-22,1.101414072732256e-21,1.6849928303730765e-21,2.635788781027294e-21,3.2158557668220302e-21,3.5827421115778816e-21,4.113937149084599e-21,4.492454256689423e-21,4.8253156889762325e-21,5.3214246045434714e-21,5.540581011114718e-21,5.954623076260154e-21,5.992259023995938e-21,5.6332540657979615e-21,5.204167515373757e-21,4.628967882667096e-21,4.039205324175953e-21,3.670320300736645e-21,3.39343637024499e-21,3.169571041520838e-21,2.981686833097945e-21,2.820178029616102e-21,2.6789206520813513e-21,2.5537042983379405e-21,2.441573269310723e-21,2.34032703992582e-21,2.248166425875261e-21,2.1636600681980704e-21,2.085757983004857e-21,2.0136968674292102e-21,1.9467414764119727e-21,1.8842359823086665e-21,1.3744258668055055e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.064804081748587e-23,3.090804493004093e-22,9.181114956147337e-22,1.779349687234865e-21,2.537260230560378e-21,3.3487014200687355e-21,4.157943193781745e-21,4.67083887809065e-21,5.117390928822203e-21,5.57660948985289e-21,6.053350355800832e-21,6.4820000158758756e-21,6.814136551619116e-21,6.501587235723899e-21,6.1011465162927066e-21,5.507104390174794e-21,4.8238957256796624e-21,4.3045326412230514e-21,3.954261856951449e-21,3.6810380784262235e-21,3.456299321367118e-21,3.265742159527146e-21,3.1006931289595475e-21,2.9553861315687408e-21,2.8257973355366638e-21,2.7090233830647327e-21,2.6029564087056526e-21,2.5058947355226614e-21,2.415456657003283e-21,2.3260673133646104e-21,2.2312436646404058e-21,2.127681307300736e-21,2.0146683752721103e-21,1.892145743405196e-21,1.763777790276706e-21,1.6384758377024653e-21,1.5253283157237727e-21,1.4296572229198497e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3876394383909174e-25,2.648888146340114e-22,7.060615443067848e-22,1.4641053722862754e-21,2.381102090527784e-21,3.548896448146407e-21,4.292658252002152e-21,5.001069064549869e-21,6.024533771527729e-21,6.223943205174832e-21,6.743101591446329e-21,7.220627536153747e-21,7.524201905006128e-21,6.813760100601506e-21,6.393562208207068e-21,5.8783722471339804e-21,5.128400842466533e-21,4.612711648361724e-21,4.256068878176438e-21,3.975361149705031e-21,3.743156590252708e-21,3.545207912024477e-21,3.3728321234175737e-21,3.2202443494069128e-21,3.0811863615677297e-21,2.9467582921766842e-21,2.8084490346360688e-21,2.6616382413157367e-21,2.505149129059069e-21,2.3404152916478297e-21,2.1739263069512588e-21,2.0164604349606673e-21,1.876822450133235e-21,1.7606830402942096e-21,1.6691056228514246e-21,1.5989007108784892e-21,1.5439537255484231e-21,1.4976629353039449e-21,1.4564587470310642e-21,1.4198613427794406e-21,1.3871640637753041e-21,1.357257121745598e-21,1.3291081107615494e-21,1.3023158062623045e-21,1.2767899004091234e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07491893773814e-23,4.131958934138986e-22,1.6298758534109604e-21,2.0845269831360873e-21,3.1759682948424025e-21,4.170229827322717e-21,4.886003665207911e-21,5.7190696346712706e-21,6.43722956586229e-21,7.09889169937714e-21,7.616938486847578e-21,7.977665863905579e-21,7.467289060474263e-21,6.992375899513684e-21,6.3866350643976286e-21,5.640743477834749e-21,5.0374970517949305e-21,4.63632577995105e-21,4.326083871323301e-21,4.070869174816084e-21,3.849355072446596e-21,3.644293462491638e-21,3.442068126614234e-21,3.234859050120728e-21,3.02088060381471e-21,2.8035557563517236e-21,2.591551932241647e-21,2.3964239434664557e-21,2.226944650315808e-21,2.0892657835193714e-21,1.9830165503743595e-21,1.9016442451366526e-21,1.8369358290554285e-21,1.7816548182682504e-21,1.733005104978683e-21,1.6900393907807763e-21,1.6513615607854515e-21,1.615535614678612e-21,1.5816665481643595e-21,1.5495252549560279e-21,1.5189341307714046e-21,1.4896891967318848e-21,1.461612909745811e-21,1.4345953383091793e-21,1.4085716800910603e-21,1.3834988475334448e-21,1.359363208844968e-21,1.3361492680832266e-21,1.3138238244010136e-21,1.2923416547371604e-21,1.2716451981103597e-21,1.2516644396392413e-21,6.185494502222376e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39015296846931e-23,4.1182711574581063e-22,1.1103094223524144e-21,1.9630588057241207e-21,3.078916056562577e-21,4.312735813328885e-21,5.4647784077884815e-21,6.2910818773073366e-21,7.047365132433457e-21,7.63829144307339e-21,7.965388632914935e-21,8.077071375545734e-21,7.778357905658825e-21,7.357694121531528e-21,6.6289623921362845e-21,5.7868897574493625e-21,5.201613188419799e-21,4.8008150742498995e-21,4.466361106714718e-21,4.159767565423071e-21,3.862544906773651e-21,3.570182750984224e-21,3.28571299446694e-21,3.018868633057819e-21,2.780201284463501e-21,2.577931065172451e-21,2.4174727821745383e-21,2.2948008186018226e-21,2.2004383229425668e-21,2.124489221914264e-21,2.059793298716051e-21,2.0035348259635438e-21,1.9538473791338556e-21,1.9087332779865616e-21,1.8666108169471134e-21,1.8268735431975362e-21,1.7892473706372892e-21,1.75345966468222e-21,1.7192664287665838e-21,1.6865004649673546e-21,1.6550675937923756e-21,1.6249219764945789e-21,1.596022461274864e-21,1.5683138090891782e-21,1.5417259735796302e-21,1.5161783011202183e-21,1.4915863870721478e-21,1.4678842848956964e-21,1.445025322983108e-21,1.4229761074909626e-21,1.4016992609753412e-21,1.3811379901767163e-21,1.3612371145518169e-21,1.3419554343407508e-21,1.323269209359232e-21,1.3051517789369516e-21,1.2875723441980811e-21,1.2704933446725463e-21,1.2538878353300628e-21,1.2377294389948882e-21,1.2219917243508527e-21,3.0308553634819386e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16926677713432e-22,7.199489924924228e-22,1.6344652770666268e-21,2.624784429628013e-21,3.824254319481722e-21,5.1871251176013376e-21,6.1505687532612334e-21,9.96735969864111e-21,7.810995563352562e-21,8.261606025925253e-21,8.315195879840551e-21,8.166653314451866e-21,7.70136964668456e-21,7.000507673009532e-21,6.22943367998305e-21,5.520921127158658e-21,5.005427772974702e-21,4.5622099317613e-21,4.1574170682638845e-21,3.784073860077038e-21,3.448031841508658e-21,3.156816057928816e-21,2.917177106982019e-21,2.7309488055827567e-21,2.5901181008623635e-21,2.4819724070531745e-21,2.3948662828474486e-21,2.321090728483109e-21,2.257220458541393e-21,2.2005238126861234e-21,2.148575593269232e-21,2.1000294237467783e-21,2.0544142349958287e-21,2.011351201285616e-21,1.9704988839641544e-21,1.9315955583030223e-21,1.894490386551273e-21,1.859083818924488e-21,1.8252964994871085e-21,1.7930374994907472e-21,1.7622017341704843e-21,1.7326816216204566e-21,1.7043762076021503e-21,1.6771971397525743e-21,1.6510700308742951e-21,1.6259297573811976e-21,1.6016992561220702e-21,1.5782997754771718e-21,1.555654550293196e-21,1.5337149190340791e-21,1.5124404276081537e-21,1.4917862636184346e-21,1.4717085327396555e-21,1.4521679354351443e-21,1.433144206036782e-21,1.414620493186749e-21,1.3965806101867058e-21,1.3790057178306629e-21,1.3618794130689583e-21,1.345192948923188e-21,1.3289371359432592e-21,1.3130989402055547e-21,1.297663407317518e-21,1.2826117461583475e-21,1.2679305620094589e-21,1.2536055725949684e-21,1.2396249251161103e-21,1.2259680351099425e-21,1.2126125694352684e-21,6.01386268308416e-22
