"vmin","10MeV_0.1eV","10MeV_1eV","100MeV_0.1eV","100MeV_1eV","1000MeV_0.1eV","1000MeV_1eV"
4.725605127161015,0.,0.,0.,0.,3.750878050047787e19,0.
4.798828455070057,0.,0.,0.,0.,4.329429673773073e19,0.
4.873186379629853,0.,0.,0.,0.,4.773444599841842e19,0.
4.94869648143387,0.,0.,0.,0.,5.064034370098584e19,0.
5.025376613487146,0.,0.,0.,0.,4.868120030295341e19,0.
5.10324490542733,0.,0.,0.,0.,5.126942275556681e19,0.
5.182319767811089,0.,0.,0.,0.,5.600275658677468e19,0.
5.262619896466973,0.,0.,0.,0.,6.2400930380785885e19,0.
5.344164276915693,0.,0.,0.,0.,7.343153680478225e19,0.
5.426972188858914,0.,0.,0.,0.,8.96661131430783e19,0.
5.5110632107375865,0.,0.,0.,0.,1.3039923191679864e20,0.
5.596457224360921,0.,0.,0.,0.,2.0676624165595824e20,0.
5.683174419607086,0.,0.,0.,0.,3.0762253915807384e20,0.
5.7712352991967375,0.,0.,0.,0.,4.0874732254658744e20,0.
5.860660683540518,0.,0.,0.,0.,5.0949691822479815e20,0.
5.951471715661671,0.,0.,0.,0.,6.094065324925113e20,0.
6.0436898661949305,0.,0.,0.,0.,7.081357820161172e20,0.
6.137336938462861,0.,0.,0.,0.,8.050393031260994e20,0.
6.232435073630856,0.,0.,0.,0.,8.99759268178385e20,0.
6.329006755942036,0.,0.,0.,0.,9.923162478164661e20,0.
6.427074818033227,0.,0.,0.,0.,1.0827877263558161e21,0.
6.526662446333334,0.,0.,0.,0.,1.1701208427873392e21,0.
6.627793186545349,0.,0.,0.,0.,1.2543067772728558e21,0.
6.730490949213317,0.,0.,0.,0.,1.3343549529609415e21,0.
6.834780015375549,0.,0.,0.,0.,1.411161482808864e21,0.
6.940685042305438,0.,0.,0.,0.,1.4814013368199778e21,0.
7.048231069341223,0.,0.,0.,0.,1.546087702771924e21,0.
7.1574435238061,0.,0.,0.,0.,1.5940943272689944e21,0.
7.268348227020047,0.,0.,0.,0.,1.6170722359951646e21,0.
7.3809714004048095,0.,0.,0.,0.,1.6185097060262433e21,0.
7.495339671683495,0.,0.,0.,0.,1.6143488738680376e21,0.
7.611480081176205,0.,0.,0.,0.,1.6101718785574848e21,0.
7.729420088193236,0.,0.,0.,0.,1.6059766213395764e21,0.
7.849187577527353,0.,0.,0.,0.,1.6016256394872666e21,0.
7.970810866046626,0.,0.,0.,0.,1.5970985142318717e21,0.
