vmin_low,vmin_high,vmin_mid,flux
4.195999999999999730e+00,4.995000000000000107e+00,4.595499999999999474e+00,2.270073698205018698e-32
4.995000000000000107e+00,5.793999999999999595e+00,5.394499999999999851e+00,2.270073698205018698e-32
5.793999999999999595e+00,6.593000000000000860e+00,6.193500000000000227e+00,2.270073698205018698e-32
6.593000000000000860e+00,7.392000000000000348e+00,6.992500000000000604e+00,2.270073698205018972e-32
7.392000000000000348e+00,8.191000000000000725e+00,7.791500000000000981e+00,2.270073698205018972e-32
8.191000000000000725e+00,8.990000000000000213e+00,8.590500000000000469e+00,2.270073698205018698e-32
8.990000000000000213e+00,9.788999999999999702e+00,9.389499999999999957e+00,2.270073698205018972e-32
9.788999999999999702e+00,1.058799999999999919e+01,1.018849999999999945e+01,2.270073698205018972e-32
1.058799999999999919e+01,1.138700000000000045e+01,1.098750000000000071e+01,2.270073698205018972e-32
1.138700000000000045e+01,1.218600000000000172e+01,1.178650000000000020e+01,2.270073698205018972e-32
1.218600000000000172e+01,1.298499999999999943e+01,1.258549999999999969e+01,2.270073698205018972e-32
1.298499999999999943e+01,1.378400000000000070e+01,1.338449999999999918e+01,2.270073698205018972e-32
1.378400000000000070e+01,1.458300000000000196e+01,1.418350000000000222e+01,2.270073698205018972e-32
1.458300000000000196e+01,1.538200000000000145e+01,1.498250000000000171e+01,2.270073698205018972e-32
1.538200000000000145e+01,1.618100000000000094e+01,1.578150000000000119e+01,2.270073698205018972e-32
1.618100000000000094e+01,1.698000000000000043e+01,1.658050000000000068e+01,2.270073698205019245e-32
1.698000000000000043e+01,1.777899999999999991e+01,1.737950000000000017e+01,2.270073698205018972e-32
1.777899999999999991e+01,1.857799999999999940e+01,1.817849999999999966e+01,2.270073698205018972e-32
1.857799999999999940e+01,1.937699999999999889e+01,1.897749999999999915e+01,2.270073698205018972e-32
1.937699999999999889e+01,2.017599999999999838e+01,1.977649999999999864e+01,2.270073698205018972e-32
2.017599999999999838e+01,2.097500000000000142e+01,2.057549999999999812e+01,2.270073698205018972e-32
