7.611695227240806e23,3.1163245045515505e24,5.891213234373015e24,9.108323634216793e24,1.3032742604308342e25,1.8384745897170417e25,2.4631395423329156e25,3.160078872287273e25,3.1205810576879085e25,2.6009080489608922e25,2.00738230609633e25,1.9218017719293366e25,2.058001065112775e25,2.2237168022987156e25,2.451874618968601e25,2.6948488366813388e25,2.896838110394376e25,3.0354126074032626e25,2.8008047392216245e25,2.4534157915847706e25,2.034528517770077e25,1.6731030547089933e25,1.369005089678498e25,1.1282657596122577e25,9.275395597557714e24,7.574621511186801e24,6.180999010898357e24,5.033418111046e24,4.0862958082477315e24,3.3065422844909193e24,2.6671598556009686e24,2.144591393068158e24,1.7189671592534086e24,1.3730445535314047e24,1.0945599742627793e24,8.706745445879569e23,6.895035842450888e23,5.455602969625557e23,4.30093192739061e23,3.385312566732688e23,2.6557239218854123e23,2.0788567984541387e23,1.6238130577627743e23,1.263943862535597e23,9.804117276351215e22,7.594419835655473e22,5.8775160052225065e22,4.54011799656047e22,3.498820554968626e22,2.68870856865326e22,2.0634581906062423e22,1.5835947086329093e22,1.2154104173829682e22,9.326509661890039e21,7.155704215926484e21,5.486990393809823e21,4.204425515597133e21,3.220329832936838e21,2.466342300895312e21,1.8891143941831834e21,1.4470791637288155e21,1.1085749697006502e21,8.493525685912404e20,6.50862505907592e20,4.988784372855165e20,3.825306698551346e20,2.9346935902029208e20,2.253240463706386e20,1.7317898183257575e20,1.3321312332819731e20,1.0250635500001218e20,7.889351994495551e19,6.07315074626457e19,4.6759730214072345e19
0.,0.,0.,0.,2.9022255382078196e23,1.785230751562411e24,3.6444830947441847e24,5.96252802679611e24,1.5250123593749962e25,2.9630314135366604e25,4.517513585967111e25,4.07422190776598e25,2.6372360466250396e25,1.3962114680455374e25,1.1063982729993726e25,8.864699526330982e24,1.0255435040205947e25,1.3112725447603373e25,1.9957835804916028e25,2.781394851159987e25,3.531743849271284e25,4.254506217268187e25,4.9498742945240225e25,5.572605850398229e25,5.848869674972381e25,5.6149047281830035e25,4.8421797158243305e25,4.053708775776394e25,3.38312145104454e25,2.821960161940922e25,2.350013700883997e25,1.9517906470688374e25,1.6156530762395546e25,1.3322046889366593e25,1.095231069740677e25,8.973684899162129e24,7.315629461036139e24,5.950153918996732e24,4.81617256647842e24,3.888454651903482e24,3.127491039635487e24,2.506621807228891e24,2.0034850334564923e24,1.596561556347176e24,1.2681552152734375e24,1.0049069147723104e24,7.941986173332993e23,6.25531375749858e23,4.915563607869781e23,3.854044007748957e23,3.0117196285558796e23,2.3442134007267425e23,1.8198829574272863e23,1.4110858402013111e23,1.092799378786946e23,8.443864090758612e22,6.5046889603280386e22,4.999681571042298e22,3.8405657374254174e22,2.950316393713622e22,2.2662339073987188e22,1.7403437024899966e22,1.3358480234644605e22,1.0246186460940023e22,7.85327998978346e21,6.017667340274943e21,4.6109581387374967e21,3.5331944796267977e21,2.7074482480571356e21,2.0748902976855076e21,1.5903462471082902e21,1.2192289341672433e21,9.350185814705735e20,7.174093709900571e20
0.,0.,0.,0.,0.,0.,0.,4.2303026478974245e20,1.831277954446502e22,4.861411375929432e22,8.790468171362601e23,1.756180727872174e25,4.3278742260766075e25,6.06155431940777e25,4.853045168901461e25,3.4001370963232117e25,2.4854816716256662e25,1.645355410214074e25,1.3042675576085647e25,1.061637019264414e25,9.520118140998777e24,9.215986822042406e24,9.888546989113218e24,1.255461961140705e25,2.1031765512904185e25,3.457858530874764e25,5.095209833664264e25,6.636676631909759e25,8.013133762248388e25,8.885065164260475e25,8.658185609596166e25,7.577227625552546e25,6.397420851627934e25,5.379356340086421e25,4.523670643364627e25,3.798245913523333e25,3.176427650108575e25,2.6500619580814733e25,2.200202659743469e25,1.8207948136363682e25,1.5001590533573676e25,1.2308045507788122e25,1.0058591778398857e25,8.188199230646608e24,6.639048440411217e24,5.36394538440382e24,4.3182641768826465e24,3.4641715627445726e24,2.770632822367313e24,2.2084499478739066e24,1.755659830857316e24,1.3922948955277878e24,1.1003975369139477e24,8.668873253755231e23,6.814383390528331e23,5.341241566257379e23,4.170043884887649e23,3.244443717212992e23,2.520050979255595e23,1.954970580062477e23,1.5134395572968572e23,1.1680451318657624e23,8.988544408361847e22,6.909607165846351e22,5.3111659061334466e22,4.082327190591581e22,3.1370441450142938e22,2.4096055189449805e22,1.8494839729251737e22,1.4183319350026724e22,1.0871414598155052e22,8.332205804097133e21,6.386090394632373e21,4.894528074295374e21
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.8556227163292454e20,6.261769362809726e21,1.5479937487547069e22,8.383455204534607e24,3.948249431729261e25,6.972997725800566e25,6.551703569498479e25,5.412491910972138e25,4.071707818465718e25,2.804919867441335e25,2.1666725661927215e25,1.7204678094531215e25,1.4193134342146923e25,1.221962152166642e25,1.098473114183097e25,1.0487376291631064e25,1.0905863505040482e25,1.24383899718317e25,1.6462680384056236e25,2.8063817372490704e25,5.043571060924979e25,7.721985875142057e25,1.020863327417171e26,1.1864786187919666e26,1.1771826762700422e26,1.034888549945876e26,8.771682981171988e25,7.419321704560471e25,6.266214845006661e25,5.286185263461982e25,4.444375676918645e25,3.7224308526715726e25,3.105499930436002e25,2.579899178852737e25,2.133890618584233e25,1.7576030116532426e25,1.4415934595269688e25,1.1772252639993201e25,9.575766874206517e24,7.759662382019586e24,6.262920329492717e24,5.037066176885126e24,4.0386628909767834e24,3.226244869117151e24,2.569600465567e24,2.0416597736976045e24,1.6173347063943338e24,1.2770599180781328e24,1.0056865434079177e24,7.896264583310071e23,6.174561481833952e23,4.810951991652794e23,3.742340094940292e23,2.9073745519041122e23,2.2538740519313235e23,1.7416774831585466e23,1.3413368337169744e23,1.031480134776683e23,7.931573004209817e22,6.099439447173293e22,4.689657031667657e22,3.6041068157755973e22,2.767718792439182e22,2.1233529963598645e22
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,9.766279073158662e21,4.609405817566927e22,5.115467512403647e24,3.9323460997058214e25,7.563800780958863e25,7.4907556588533425e25,6.601664268031167e25,5.1983817386541885e25,3.979261500856179e25,2.996901156147069e25,2.4097983351249644e25,1.992741638724365e25,1.6804917579130734e25,1.4533524158798286e25,1.2964299468245455e25,1.2103558768162149e25,1.2114779709798583e25,1.3215330319645472e25,1.5605658376782737e25,2.121276433558054e25,3.733952843527436e25,7.0140708345556564e25,1.0983936999512898e26,1.421063998555296e26,1.5144966783479143e26,1.3772038533104867e26,1.1766997855960729e26,9.980826086549022e25,8.462155947723093e25,7.165640050150494e25,6.050738975667638e25,5.090354590316068e25,4.26536738518245e25,3.5587996882571474e25,2.9556846964732776e25,2.4442616081426025e25,2.012324871846625e25,1.6496180115132802e25,1.3464735699167557e25,1.0946058226497238e25,8.863882828956392e24,7.149576615092063e24,5.747111763693018e24,4.60420069101332e24,3.675987167535158e24,2.926707800517978e24,2.3235342981818234e24,1.8389325028488618e24,1.4517216632790115e24,1.1428016613319549e24,8.959835323948252e23,6.994032863674068e23,5.4476999614582314e23,4.2400919900097936e23,3.294757053334015e23,2.5525852305527503e23,1.9702166290155666e23,1.5169043470821997e23,1.1673771396908825e23,8.985564743478554e22,6.917052355442298e22
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.688019497768107e22,3.654927097595592e23,6.871996102246779e24,4.729824642996703e25,8.250133455124911e25,7.8890319822899e25,7.102339790003e25,6.062599871149591e25,4.781259906455033e25,3.7509988060699476e25,2.999771244171607e25,2.4993692647129117e25,2.1221778568296925e25,1.8299598033294072e25,1.6078883702213124e25,1.4518832115722255e25,1.367895561818521e25,1.376722017690701e25,1.5095300904213256e25,1.783924758470423e25,2.328886595080488e25,3.899236306519716e25,7.755793525741313e25,1.309376541418476e26,1.7303776753586128e26,1.8183197894585784e26,1.6285549271094267e26,1.3897194804203634e26,1.1812482900995796e26,1.0037360222820963e26,8.516262673060079e25,7.2040980000684915e25,6.070074016030221e25,5.093659439075215e25,4.255482211720982e25,3.539009732263078e25,2.9300207079682946e25,2.4148158293366615e25,1.9814457531575073e25,1.6188961844302084e25,1.3171236381935062e25,1.067415734019388e25,8.616497523194846e24,6.930554875451945e24,5.554884432245275e24,4.4378774660106556e24,3.5356305841780383e24,2.807578396139302e24,2.2225062267373406e24,1.7558233380078893e24,1.3833294044701417e24,1.08496554889444e24,8.470806378651595e23,6.600871670900152e23,5.142193007643621e23,4.000002576182631e23,3.101657139918984e23,2.3956776569018613e23,1.8460507472474272e23
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.039895882133974e23,2.296660426396729e24,1.7156622253892059e25,6.667897922326627e25,8.559734472141157e25,7.900665185570005e25,7.503347557950397e25,6.586274712392107e25,5.357990885043043e25,4.240435264647468e25,3.46757542158073e25,2.919318200987544e25,2.497102959731252e25,2.1616793689778206e25,1.8976456892949684e25,1.6993370609434275e25,1.5689688502925943e25,1.522299048554693e25,1.592311721775312e25,1.8139731332702975e25,2.204094961711275e25,3.0023419066495496e25,5.5075854341140765e25,1.1078780304117295e26,1.771049292390912e26,2.1296157797871987e26,2.0373634066852145e26,1.7620309753754673e26,1.500734762769234e26,1.2776750363727605e26,1.0868020580074738e26,9.223343441220702e25,7.799979823305949e25,6.569107609521905e25,5.5083208254202885e25,4.5979618957255225e25,3.8201778041940225e25,3.159713272099654e25,2.6014303022342503e25,2.1324299123207496e25,1.7404131682967132e25,1.4145472835471579e25,1.1451241297730459e25,9.235861874954596e24,7.421384996897544e24,5.941740449240821e24,4.7442857538816256e24,3.77661295536199e24,2.995085758763785e24,2.3693232972102673e24,1.871314476356651e24,1.472720861794588e24,1.1529875298672858e24,8.993095814121636e23,7.009795313941073e23,5.462533178919219e23,4.247946684519728e23
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,5.220793729757111e18,3.944342444089306e19,1.9447712568732097e24,9.546382646594281e24,4.20495078556595e25,8.514771383095869e25,8.275443945212437e25,8.049600142572549e25,7.82009595949919e25,6.940223756372474e25,5.668467024780407e25,4.570861842315641e25,3.796898576659404e25,3.233816773731574e25,2.7895720660641115e25,2.4294240236533295e25,2.139682318620897e25,1.9175318884191139e25,1.7647702377975254e25,1.6915692375088448e25,1.7335939071335288e25,1.9367220843057305e25,2.322364606403859e25,2.970155155392067e25,4.820565068924153e25,1.008171648840553e26,1.821839485816681e26,2.3906115173863532e26,2.384876215872976e26,2.0849729078845163e26,1.7788802028356823e26,1.5162581531467492e26,1.291894666907464e26,1.0984174330146662e26,9.30787338737253e25,7.855703103182957e25,6.600640665754747e25,5.521231571212002e25,4.596746176158854e25,3.809378739438452e25,3.142387653303596e25,2.5804223250855568e25,2.109777378589309e25,1.7176737409299978e25,1.3925786099009594e25,1.1248559510404084e25,9.052367715427277e24,7.255911159038103e24,5.79996157318174e24,4.6235571621875107e24,3.6710791284180594e24,2.905731608788872e24,2.2970728502448186e24,1.8110456445996063e24,1.420349403866117e24,1.1087784712387131e24,8.644781309240308e23
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.2730802471136975e21,7.979379663009042e22,9.326197488279176e24,3.111014284698309e25,7.507639500486539e25,8.650415594525081e25,8.230886578444776e25,8.413573460480986e25,8.14694640313904e25,7.067145105710768e25,5.78396582107414e25,4.7404782976649685e25,4.006439695724785e25,3.451371152367669e25,3.0002187487150614e25,2.6307188492666596e25,2.3315166922463447e25,2.09748221624291e25,1.9372150913881537e25,1.8609107639660967e25,1.9058329487740109e25,2.12912283306862e25,2.5557139284845693e25,3.2252121084272424e25,5.048764061855308e25,1.0695773118502181e26,2.0197271784027417e26,2.691461778427696e26,2.6805164699286955e26,2.3411166218126025e26,1.9993452707793943e26,1.7057288758321583e26,1.4547242414858707e26,1.238068050579005e26,1.050040793943162e26,8.86999185285855e25,7.459427343552696e25,6.244369428393139e25,5.202861648115345e25,4.314648768489448e25,3.5616602778964654e25,2.9265955550334758e25,2.3942103958468003e25,1.9504030166155664e25,1.5819614698927273e25,1.278477082242395e25,1.0294117043361992e25,8.25374284602961e24,6.599867009921456e24,5.263927533984855e24,4.1806504309579244e24,3.3091504770455886e24,2.6164762118191727e24,2.0639515281502504e24,1.6195231280909578e24
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.509937872420365e20,5.702191981169598e22,4.589930112026793e24,2.9938711964670413e25,6.633925039300519e25,8.946666758129094e25,8.427428017890104e25,8.649099370395575e25,8.924529380149358e25,8.248645137171494e25,7.001132856058951e25,5.73779714371452e25,4.796718673730557e25,4.120811655022582e25,3.5854437239589144e25,3.1418485995560955e25,2.771195650023954e25,2.472416648919493e25,2.241062973323277e25,2.087886398955926e25,2.029648140522395e25,2.108880661150252e25,2.3950355108808527e25,2.903115712758609e25,3.7009881129634353e25,6.085920387997474e25,1.3245630640966002e26,2.416248187501968e26,3.0441068476791785e26,2.912878205343295e26,2.5217470737312343e26,2.1538910682589946e26,1.8390830047341524e26,1.5692112681794845e26,1.3357712645301355e26,1.1329470494839057e26,9.568992787507295e25,8.045875686452781e25,6.73356384926347e25,5.608904355582358e25,4.650003206782885e25,3.8372828037054458e25,3.151887452346129e25,2.5777010980584284e25,2.0991486893585825e25,1.7019035485165776e25,1.3751039179255883e25,1.106773552715943e25,8.870230642908393e24,7.092114940244035e24,5.654764515979186e24,4.4879883472610104e24,3.551091096954187e24,2.807481606213033e24
