material,q,mass,nbins,background,alternative,sigma_asimov,q_asimov,chi2_pearson,sigma_mc,p_value_mc
Al,2,1,5,c,Disk,74.4549,5543.54,5233,inf,0
Al,2,1,5,c,Bound,0,0,0,-inf,1
Al,2,1,5,b,mix5,3.59989,12.9592,12.963,3.6522,0.00013
Al,2,1,5,b,mix25,18.0191,324.687,324.076,inf,0
Al,2,1,5,b,Disk,74.1482,5497.95,5185.21,inf,0
Al,2,1,5,b,Bound,0,0,0,-inf,1
Al,2,2,5,none,mix5,1.52946,2.33925,2.3763,1.52849,0.063195
Al,2,2,5,none,mix25,7.42941,55.1962,59.4076,inf,0
Al,2,2,5,none,Disk,27.3011,745.351,950.522,inf,0
Al,2,2,5,none,Bound,0,0,0,-inf,1
Al,2,2,5,c,mix5,1.51716,2.30177,2.3375,1.51707,0.064625
Al,2,2,5,c,mix25,7.37354,54.3691,58.4376,inf,0
Al,2,2,5,c,Disk,27.1283,735.947,935.001,inf,0
Al,2,2,5,c,Bound,0,0,0,-inf,1
Al,2,2,5,b,mix5,1.44029,2.07444,2.10277,1.44275,0.074545
Al,2,2,5,b,mix25,7.02188,49.3068,52.5693,inf,0
Al,2,2,5,b,Disk,26.0252,677.31,841.109,inf,0
Al,2,2,5,b,Bound,0,0,0,-inf,1
Al,2,3,5,none,mix5,0.508489,0.258561,0.262672,0.518299,0.302125
Al,2,3,5,none,mix25,2.46978,6.09981,6.56679,2.48267,0.00652
Al,2,3,5,none,Disk,9.07405,82.3383,105.069,inf,0
Al,2,3,5,none,Bound,9.91388e+06,9.82851e+13,2.07686e+23,inf,0
Al,2,3,5,c,mix5,0.473071,0.223796,0.226773,0.478056,0.316305
Al,2,3,5,c,mix25,2.30777,5.32581,5.66931,2.31087,0.01042
Al,2,3,5,c,Disk,8.56592,73.375,90.709,inf,0
Al,2,3,5,c,Bound,9.86722e+06,9.7362e+13,1.65215e+23,inf,0
Al,2,3,5,b,mix5,0.346711,0.120209,0.121009,0.351331,0.36267
