vmin_mid,best_fit,lo68,hi68,lo95,hi95
4.294750000000000512e+01,1.008793871454135621e-30,9.058095811931397229e-31,1.349347342347618758e-27,8.720238328490589415e-31,2.666257221307376610e-27
4.374649999999999750e+01,1.008793871454135621e-30,8.831433568040674196e-31,5.304320718666829399e-28,8.289282623854972767e-31,1.051438256842878553e-27
4.454550000000000409e+01,1.008793871454135621e-30,8.831433568040674196e-31,2.329625001190737656e-28,8.289282623854972767e-31,4.676736162657651812e-28
4.534450000000000358e+01,1.008793871454135621e-30,8.831433568040674196e-31,1.408930410577822742e-28,8.289282623854972767e-31,2.740244186141518329e-28
4.614350000000000307e+01,1.008793871454135621e-30,8.831433568040674196e-31,9.900761361413244371e-29,8.289282623854972767e-31,1.855255327652429715e-28
4.694250000000000256e+01,1.008793871454135621e-30,8.831433568040674196e-31,6.540877495750239056e-29,8.289282623854972767e-31,1.201635925098114928e-28
4.774150000000000205e+01,1.008793871454135621e-30,8.831433568040674196e-31,4.540272971255327021e-29,8.289282623854972767e-31,8.650466966401624820e-29
4.854050000000000153e+01,1.008793871454135621e-30,8.831433568040674196e-31,3.496114479510620107e-29,8.289282623854972767e-31,7.018470786826717950e-29
5.013850000000000051e+01,1.008793871454135621e-30,8.831433568040674196e-31,2.161814091559549414e-29,8.289282623854972767e-31,4.073436360480757079e-29
5.173649999999999949e+01,1.008793871454135621e-30,8.831433568040674196e-31,1.380861295691155564e-29,8.289282623854972767e-31,2.569151987712327209e-29
5.333450000000000557e+01,1.008793871454135621e-30,8.831433568040674196e-31,9.932896471046311973e-30,8.289282623854972767e-31,1.801813952753361073e-29
5.573150000000000404e+01,1.008793871454135621e-30,8.831433568040674196e-31,6.195916724407918234e-30,8.289282623854972767e-31,1.138262584768195849e-29
5.812850000000000250e+01,1.008793871454135621e-30,8.831433568040674196e-31,4.097972490707206432e-30,8.289282623854972767e-31,7.133765134686527848e-30
6.132450000000000045e+01,1.008793871454135621e-30,8.831433568040674196e-31,2.727627250747961336e-30,8.289282623854972767e-31,4.527923643126998004e-30
6.531950000000000500e+01,1.008793871454135621e-30,8.831433568040674196e-31,1.871052926796182339e-30,8.289282623854972767e-31,2.788854814052727077e-30
6.931450000000000955e+01,1.008793871454135621e-30,8.831433568040674196e-31,1.522838457162268891e-30,8.289282623854972767e-31,2.012410508056443168e-30
7.410849999999999227e+01,1.008793871454135621e-30,8.831433568040674196e-31,1.243392393578246090e-30,8.289282623854972767e-31,1.503664629296652313e-30
8.050050000000000239e+01,1.008793871454140700e-30,8.720238328490634958e-31,1.123531858110549555e-30,8.184913524551195716e-31,1.308035749273595068e-30
8.769150000000000489e+01,8.764260659999267378e-31,8.278681371405772141e-31,1.107966833831886915e-30,7.969895229988806814e-31,1.210728381779336824e-30
9.568149999999999977e+01,8.764260659999269130e-31,7.770463210951900923e-31,1.039950100143013895e-30,7.672626488125414686e-31,1.080241994756765030e-30
1.060685000000000002e+02,8.764260659999132503e-31,7.480633074449637586e-31,9.516834965950210357e-31,7.293443944020647385e-31,9.761088308456930585e-31
1.172544999999999931e+02,7.124867201541516557e-31,6.990869770013365283e-31,8.454228653383516031e-31,6.902848789868854585e-31,8.781779840595132487e-31
1.316365000000000123e+02,7.124867201541513054e-31,6.397514059618744148e-31,7.543073212869706243e-31,6.316963931159569985e-31,7.639257950173101675e-31
1.484155000000000086e+02,1.279335220282163038e-31,0.000000000000000000e+00,7.133821787822538493e-31,0.000000000000000000e+00,7.247710216174376450e-31
