vmin_low,vmin_high,vmin_mid,flux
4.574400000000000688e+01,4.654299999999999926e+01,4.614350000000000307e+01,1.066294785171089785e+02
4.654299999999999926e+01,4.734200000000000585e+01,4.694250000000000256e+01,1.066294785171089785e+02
4.734200000000000585e+01,4.814100000000000534e+01,4.774150000000000205e+01,1.066294785171089785e+02
4.814100000000000534e+01,4.893999999999999773e+01,4.854050000000000153e+01,1.066294785171089785e+02
4.893999999999999773e+01,4.973899999999999721e+01,4.933950000000000102e+01,1.066294785171089785e+02
4.973899999999999721e+01,5.053800000000000381e+01,5.013850000000000051e+01,1.066294785171089785e+02
5.053800000000000381e+01,5.133699999999999619e+01,5.093750000000000000e+01,1.066294785171089785e+02
5.133699999999999619e+01,5.213600000000000279e+01,5.173649999999999949e+01,1.066294785171089785e+02
5.213600000000000279e+01,5.293500000000000227e+01,5.253549999999999898e+01,1.066294785171089927e+02
5.293500000000000227e+01,5.373400000000000176e+01,5.333450000000000557e+01,1.066294785171089927e+02
5.373400000000000176e+01,5.453300000000000125e+01,5.413349999999999795e+01,1.066294785171089927e+02
5.453300000000000125e+01,5.533200000000000784e+01,5.493250000000000455e+01,1.066294785171089927e+02
5.533200000000000784e+01,5.613100000000000023e+01,5.573150000000000404e+01,1.066294785171089927e+02
5.613100000000000023e+01,5.693000000000000682e+01,5.653050000000000352e+01,1.066294785171089927e+02
5.693000000000000682e+01,5.772900000000000631e+01,5.732950000000001012e+01,1.066294785171089927e+02
5.772900000000000631e+01,5.852800000000000580e+01,5.812850000000000250e+01,1.066294785171089927e+02
5.852800000000000580e+01,5.932699999999999818e+01,5.892750000000000199e+01,1.066294785171089927e+02
5.932699999999999818e+01,6.012599999999999767e+01,5.972650000000000148e+01,1.066294785171089927e+02
6.012599999999999767e+01,6.092499999999999716e+01,6.052549999999999386e+01,1.066294785171089927e+02
6.092499999999999716e+01,6.172399999999999665e+01,6.132450000000000045e+01,1.066294785171089927e+02
6.172399999999999665e+01,6.252300000000000324e+01,6.212349999999999994e+01,1.066294785171089927e+02
6.252300000000000324e+01,6.332199999999999562e+01,6.292249999999999943e+01,1.066294785171089927e+02
6.332199999999999562e+01,6.412100000000000932e+01,6.372150000000000603e+01,1.066294785171089927e+02
6.412100000000000932e+01,6.492000000000000171e+01,6.452049999999999841e+01,1.066294785171089927e+02
6.492000000000000171e+01,6.571899999999999409e+01,6.531950000000000500e+01,1.066294785171089927e+02
6.571899999999999409e+01,6.651800000000001489e+01,6.611850000000001160e+01,1.066294785171089927e+02
6.651800000000001489e+01,6.731700000000000728e+01,6.691750000000001819e+01,1.066294785171089927e+02
6.731700000000000728e+01,6.811599999999999966e+01,6.771649999999999636e+01,1.066294785171089927e+02
6.811599999999999966e+01,6.891500000000000625e+01,6.851550000000000296e+01,1.066294785171089927e+02
6.891500000000000625e+01,6.971400000000001285e+01,6.931450000000000955e+01,1.066294785171089927e+02
6.971400000000001285e+01,7.051300000000000523e+01,7.011350000000001614e+01,1.066294785171089927e+02
7.051300000000000523e+01,7.131199999999999761e+01,7.091249999999999432e+01,1.066294785171089927e+02
7.131199999999999761e+01,7.211100000000000421e+01,7.171150000000000091e+01,1.066294785171089927e+02
7.211100000000000421e+01,7.290999999999999659e+01,7.251050000000000750e+01,1.066294785171089927e+02
7.290999999999999659e+01,7.370900000000000318e+01,7.330949999999999989e+01,1.066294785171089927e+02
7.370900000000000318e+01,7.450799999999999557e+01,7.410849999999999227e+01,1.066294785171089927e+02
7.450799999999999557e+01,7.530700000000000216e+01,7.490749999999999886e+01,1.066294785171089927e+02
7.530700000000000216e+01,7.610600000000000875e+01,7.570650000000000546e+01,1.066294785171089927e+02
7.610600000000000875e+01,7.690500000000000114e+01,7.650550000000001205e+01,1.066294785171089927e+02
7.690500000000000114e+01,7.770399999999999352e+01,7.730449999999999022e+01,1.066294785171089927e+02
7.770399999999999352e+01,7.850300000000001432e+01,7.810349999999999682e+01,1.066294785171089927e+02
7.850300000000001432e+01,7.930200000000000671e+01,7.890250000000000341e+01,1.066294785171089927e+02
7.930200000000000671e+01,8.010099999999999909e+01,7.970150000000001000e+01,1.066294785171089927e+02
8.010099999999999909e+01,8.090000000000000568e+01,8.050050000000000239e+01,1.066294785171089927e+02
8.090000000000000568e+01,8.169900000000001228e+01,8.129950000000000898e+01,1.066294785171089927e+02
8.169900000000001228e+01,8.249800000000000466e+01,8.209850000000000136e+01,1.066294785171089927e+02
8.249800000000000466e+01,8.329700000000001125e+01,8.289750000000000796e+01,1.066294785171089927e+02
8.329700000000001125e+01,8.409600000000000364e+01,8.369650000000001455e+01,1.066294785171089927e+02
8.409600000000000364e+01,8.489499999999999602e+01,8.449549999999999272e+01,1.066294785171089927e+02
8.489499999999999602e+01,8.569400000000000261e+01,8.529449999999999932e+01,1.066294785171089927e+02
8.569400000000000261e+01,8.649299999999999500e+01,8.609350000000000591e+01,1.066294785171089927e+02
8.649299999999999500e+01,8.729200000000000159e+01,8.689249999999999829e+01,1.066294785171089927e+02
8.729200000000000159e+01,8.809100000000000819e+01,8.769150000000000489e+01,1.066294785171089927e+02
8.809100000000000819e+01,8.889000000000000057e+01,8.849049999999999727e+01,1.066294785171089927e+02
8.889000000000000057e+01,8.968899999999999295e+01,8.928950000000000387e+01,1.066294785171089927e+02
