"vmin","0.2–0.3 eV","0.3–0.4 eV","0.4–0.5 eV","0.5–0.6 eV","0.6–0.7 eV","0.7–0.8 eV","0.8–0.9 eV","0.9–1. eV","1.–1.1 eV"
3.602475625337224,0,0,0,0,0,0,0,0,0
3.648479853899846,0,0,0,0,0,0,0,0,0
3.6950715643126584,0,0,0,0,0,0,0,0,0
3.7422582588191533,0,0,0,0,0,0,0,0,0
3.7900475354677523,0,0,0,0,0,0,0,0,0
3.838447089335251,0,0,0,0,0,0,0,0,0
3.887464713765889,0,0,0,0,0,0,0,0,0
3.9371083016262425,0,0,0,0,0,0,0,0,0
3.9873858465761414,0,0,0,0,0,0,0,0,0
4.038305444355816,0,0,0,0,0,0,0,0,0
4.089875294089479,0,0,0,0,0,0,0,0,0
4.142103699605561,0,0,0,0,0,0,0,0,0
4.194999070773796,0,0,0,0,0,0,0,0,0
4.248569924859395,0,0,0,0,0,0,0,0,0
4.302824887894492,0,0,0,0,0,0,0,0,0
4.35777269606713,0,0,0,0,0,0,0,0,0
4.413422197127961,0,0,0,0,0,0,0,0,0
4.469782351814925,0,0,0,0,0,0,0,0,0
4.526862235296113,0,0,0,0,0,0,0,0,0
4.58467103863106,0,0,0,0,0,0,0,0,0
4.643218070250704,0,0,0,0,0,0,0,0,0
4.7025127574562315,0,0,0,0,0,0,0,0,0
4.762564647937075,0,0,0,0,0,0,0,0,0
4.823383411308292,0,0,0,0,0,0,0,0,0
4.8849788406675705,0,0,0,0,0,0,0,0,0
4.947360854172133,0,0,0,0,0,0,0,0,0
5.010539496635756,0,0,0,0,0,0,0,0,0
5.07452494114621,0,0,0,0,0,0,0,0,0
5.139327490703325,0,0,0,0,0,0,0,0,0
5.204957579878,0,0,0,0,0,0,0,0,0
5.271425776492389,0,0,0,0,0,0,0,0,0
5.338742783321533,0,0,0,0,0,0,0,0,0
5.406919439816741,0,0,0,0,0,0,0,0,0
5.475966723850959,0,0,0,0,0,0,0,0,0
5.5458957534864535,0,0,0,0,0,0,0,0,0
5.616717788765034,2.1718240460361677e+12,0,0,0,0,0,0,0,0
5.6884442335211745,1.046318612208315e+13,0,0,0,0,0,0,0,0
5.761086637218253,3.027383381943832e+13,0,0,0,0,0,0,0,0
5.834656696808273,5.204034578023756e+13,0,0,0,0,0,0,0,0
5.909166258615307,7.687527628678914e+13,0,0,0,0,0,0,0,0
5.98462732024301,1.1785392672796842e+14,0,0,0,0,0,0,0,0
6.061052032506482,1.6957872243262147e+14,0,0,0,0,0,0,0,0
6.1384527013888075,2.3059736487975778e+14,0,0,0,0,0,0,0,0
6.21684179002257,3.0466276917893556e+14,0,0,0,0,0,0,0,0
6.29623192069669,3.995489920399593e+14,0,0,0,0,0,0,0,0
6.376635876888868,5.0794635498779656e+14,0,0,0,0,0,0,0,0
6.458066605323999,6.328200607913365e+14,0,0,0,0,0,0,0,0
6.540537218058859,7.799230266753832e+14,0,0,0,0,0,0,0,0
6.624060994593431,9.536863090654121e+14,0,0,0,0,0,0,0,0
6.70865138400918,1.156555620889033e+15,0,0,0,0,0,0,0,0
6.794322007134636,1.389889855377582e+15,0,0,0,0,0,0,0,0
6.8810866587386315,1.6665890374398842e+15,4.093924478007261e+11,0,0,0,0,0,0,0
6.968959309751557,1.9865848009086698e+15,2.5966952667649146e+12,0,0,0,0,0,0,0
7.057954109514958,2.3507872432293305e+15,7.079931339984222e+12,0,0,0,0,0,0,0
7.1480853880598945,2.7673295459950495e+15,1.3898799773188871e+13,0,0,0,0,0,0,0
7.239367658414372,3.2448514349456495e+15,2.3565525225698395e+13,0,0,0,0,0,0,0
7.33181561894023,3.7913352802904535e+15,3.605168431591271e+13,0,0,0,0,0,0,0
7.425444155699906,4.4156739354921835e+15,5.129833271124194e+13,0,0,0,0,0,0,0
7.520268344853394,5.126606221453865e+15,7.168464596068625e+13,0,0,0,0,0,0,0
7.6163034550858155,5.93572378715472e+15,9.765919184244766e+13,0,0,0,0,0,0,0
7.713564950066023,6.858936398022219e+15,1.2571325358943508e+14,0,0,0,0,0,0,0
7.812068490936546,7.908633423155004e+15,1.6460695725002412e+14,0,0,0,0,0,0,0
7.91182993883538,9.10260101191877e+15,2.0177017421581275e+14,1.386612520747618e+11,0,0,0,0,0,0
8.012865357449964,1.0459673327763938e+16,2.4922036437317878e+14,1.0911889354198235e+12,0,0,0,0,0,0
8.115191015603758,1.2000830850506198e+16,3.050886366421047e+14,2.361288928661169e+12,0,0,0,0,0,0
8.218823389875887,1.3749556181456708e+16,3.6885209999845756e+14,5.016658455326646e+12,0,0,0,0,0,0
8.323779167254191,1.5732244640990218e+16,4.4380193770450375e+14,9.035015434576537e+12,0,0,0,0,0,0
8.430075247822206,1.7978494872012134e+16,5.306888842087944e+14,1.3882998151772498e+13,0,0,0,0,0,0
8.537728747480406,2.0521463985022896e+16,6.227262726286698e+14,2.0619647549285043e+13,0,0,0,0,0,0
8.646757000702241,2.3398268993332124e+16,7.329652618871706e+14,2.9151589162050438e+13,0,0,0,0,0,0
8.757177563325346,2.6650435617521744e+16,8.582339054246824e+14,3.945945026116344e+13,0,0,0,0,0,0
8.869008215378397,3.0324398944158004e+16,1.0009242827123432e+15,5.207992736517315e+13,4.766341001070136e+10,0,0,0,0,0
8.982266963944067,3.4472061879583e+16,1.1634665338592755e+15,6.7166299975980125e+13,4.666936819520879e+11,0,0,0,0,0
9.096972046058562,3.915396787706183e+16,1.3480497704293078e+15,8.450909609933144e+13,1.4580841123258987e+12,0,0,0,0,0
9.213141931648135,4.4502850558179784e+16,1.5602938529313218e+15,1.0442754891203775e+14,2.9289691988534116e+12,0,0,0,0,0
9.330795326503162,5.054047572717579e+16,1.8009314724611455e+15,1.2720228278688053e+14,5.19855278047843e+12,0,0,0,0,0
9.449951175290153,5.735115890361779e+16,2.073184394357451e+15,1.5343638413577088e+14,8.337597925489322e+12,0,0,0,0,0
9.570628664602234,6.502915444719528e+16,2.3806294536969105e+15,1.8338866248250847e+14,1.2481409717072455e+13,0,0,0,0,0
9.692847226048608,7.367983110858037e+16,2.727206460627918e+15,2.176562848896366e+14,1.6976610648902906e+13,0,0,0,0,0
9.816626539383437,8.357271593908869e+16,3.1232166143313745e+15,2.5682275235740928e+14,2.2891623681929566e+13,2.263168907176963e+11,0,0,0,0
9.941986535674715,9.475224962537714e+16,3.569813597981781e+15,3.015494320432292e+14,3.000271568650944e+13,1.0362139327295972e+12,0,0,0,0
10.068947400513565,1.0735103729890614e+17,4.071530620142471e+15,3.5233805654895875e+14,3.791183926586062e+13,1.809918561669442e+12,0,0,0,0
10.197529577264552,1.2155941178960197e+17,4.634927558631051e+15,4.099045788921634e+14,4.746487107005606e+13,2.974121202971149e+12,0,0,0,0
10.327753770357505,1.3787493970414883e+17,5.277657622514384e+15,4.764479113869368e+14,5.770677978728671e+13,4.697655332073865e+12,0,0,0,0
10.459640948621347,1.562732226109908e+17,5.997426045553642e+15,5.516395559173187e+14,6.981957590161519e+13,7.149406023722696e+12,0,0,0,0
10.593212348660538,1.7701257201941904e+17,6.802264121481099e+15,6.363777470163085e+14,8.381620614027973e+13,9.821034741259404e+12,1.425208496526457e+11,0,0,0
10.728489478274579,2.008920796910237e+17,7.718469751771544e+15,7.336355956665804e+14,9.931964173609681e+13,1.3119649485444154e+13,4.537992186930952e+11,0,0,0
10.865494119921255,2.278919739898413e+17,8.742773605459446e+15,8.430412086531242e+14,1.1724322386545222e+14,1.7050169648170115e+13,9.992873961675382e+11,0,0,0
